classification,xVariable,yVariable
North East,11,16627
North East,12,16855.18181818182
North East,13,17083.363636363636
North East,14,17311.545454545456
North East,15,17653.818181818184
North East,16,17882.0
North East,17,18110.18181818182
North East,18,18452.454545454544
North East,19,18680.636363636364
North East,20,18908.81818181818
North East,21,19137
North East,22,19459.304347826088
North East,23,19674.17391304348
North East,24,19889.043478260868
North East,25,20103.91304347826
North East,26,20426.217391304348
North East,27,20641.08695652174
North East,28,20855.956521739132
North East,29,21178.260869565216
North East,30,21393.130434782608
North East,31,21608
North East,32,21908.0
North East,33,22108.0
North East,34,22408.0
North East,35,22608.0
North East,36,22908.0
North East,37,23108.0
North East,38,23408.0
North East,39,23708.0
North East,40,24008.0
North East,41,24308
North East,42,24586.612903225807
North East,43,24865.225806451614
North East,44,25143.83870967742
North East,45,25422.451612903227
North East,46,25701.06451612903
North East,47,25979.677419354837
North East,48,26258.290322580644
North East,49,26536.90322580645
North East,50,26908.387096774193
North East,51,27187
North East,52,27455.846153846152
North East,53,27814.30769230769
North East,54,28172.76923076923
North East,55,28441.615384615383
North East,56,28800.076923076922
North East,57,29248.153846153848
North East,58,29606.615384615383
North East,59,29965.076923076922
North East,60,30323.53846153846
North East,61,30682
North East,62,31018.470588235294
North East,63,31439.058823529413
North East,64,31775.529411764706
North East,65,32196.117647058825
North East,66,32616.70588235294
North East,67,33037.294117647056
North East,68,33542.0
North East,69,34046.705882352944
North East,70,34467.294117647056
North East,71,34972
North East,72,35398.40540540541
North East,73,35895.87837837838
North East,74,36322.28378378379
North East,75,36819.75675675676
North East,76,37388.2972972973
North East,77,37885.77027027027
North East,78,38454.31081081081
North East,79,39022.85135135135
North East,80,39662.45945945946
North East,81,40231
North East,82,40946.882352941175
North East,83,41662.76470588235
North East,84,42307.05882352941
North East,85,42879.76470588235
North East,86,43738.82352941176
North East,87,44669.470588235294
North East,88,45814.882352941175
North East,89,47103.470588235294
North East,90,48392.05882352941
North East,91,49967
North West,11,16573
North West,12,16818.454545454544
North West,13,17063.909090909092
North West,14,17309.363636363636
North West,15,17677.545454545456
North West,16,17923.0
North West,17,18168.454545454544
North West,18,18536.636363636364
North West,19,18782.090909090908
North West,20,19027.545454545456
North West,21,19273
North West,22,19615.0
North West,23,19843.0
North West,24,20071.0
North West,25,20299.0
North West,26,20641.0
North West,27,20869.0
North West,28,21097.0
North West,29,21439.0
North West,30,21667.0
North West,31,21895
North West,32,22228.333333333332
North West,33,22450.555555555555
North West,34,22783.88888888889
North West,35,23006.11111111111
North West,36,23339.444444444445
North West,37,23561.666666666668
North West,38,23895.0
North West,39,24228.333333333332
North West,40,24561.666666666668
North West,41,24895
North West,42,25208.74193548387
North West,43,25522.483870967742
North West,44,25836.225806451614
North West,45,26149.967741935485
North West,46,26463.709677419356
North West,47,26777.451612903227
North West,48,27091.1935483871
North West,49,27404.93548387097
North West,50,27823.25806451613
North West,51,28137
North West,52,28435.615384615383
North West,53,28833.76923076923
North West,54,29231.923076923078
North West,55,29530.53846153846
North West,56,29928.69230769231
North West,57,30426.384615384617
North West,58,30824.53846153846
North West,59,31222.69230769231
North West,60,31620.846153846152
North West,61,32019
North West,62,32397.43137254902
North West,63,32870.470588235294
North West,64,33248.901960784315
North West,65,33721.94117647059
North West,66,34194.98039215686
North West,67,34668.01960784314
North West,68,35235.666666666664
North West,69,35803.313725490196
North West,70,36276.35294117647
North West,71,36844
North West,72,37346.45945945946
North West,73,37932.66216216216
North West,74,38435.12162162162
North West,75,39021.32432432433
North West,76,39691.27027027027
North West,77,40277.47297297297
North West,78,40947.41891891892
North West,79,41617.36486486487
North West,80,42371.05405405405
North West,81,43041
North West,82,43811.0
North West,83,44581.0
North West,84,45274.0
North West,85,45890.0
North West,86,46814.0
North West,87,47815.0
North West,88,49047.0
North West,89,50433.0
North West,90,51819.0
North West,91,53513
Yorkshire and The Humber,11,16521
Yorkshire and The Humber,12,16773.090909090908
Yorkshire and The Humber,13,17025.18181818182
Yorkshire and The Humber,14,17277.272727272728
Yorkshire and The Humber,15,17655.409090909092
Yorkshire and The Humber,16,17907.5
Yorkshire and The Humber,17,18159.590909090908
Yorkshire and The Humber,18,18537.727272727272
Yorkshire and The Humber,19,18789.818181818184
Yorkshire and The Humber,20,19041.909090909092
Yorkshire and The Humber,21,19294
Yorkshire and The Humber,22,19640.304347826088
Yorkshire and The Humber,23,19871.17391304348
Yorkshire and The Humber,24,20102.043478260868
Yorkshire and The Humber,25,20332.91304347826
Yorkshire and The Humber,26,20679.217391304348
Yorkshire and The Humber,27,20910.08695652174
Yorkshire and The Humber,28,21140.956521739132
Yorkshire and The Humber,29,21487.260869565216
Yorkshire and The Humber,30,21718.130434782608
Yorkshire and The Humber,31,21949
Yorkshire and The Humber,32,22247.333333333332
Yorkshire and The Humber,33,22446.222222222223
Yorkshire and The Humber,34,22744.555555555555
Yorkshire and The Humber,35,22943.444444444445
Yorkshire and The Humber,36,23241.777777777777
Yorkshire and The Humber,37,23440.666666666668
Yorkshire and The Humber,38,23739.0
Yorkshire and The Humber,39,24037.333333333332
Yorkshire and The Humber,40,24335.666666666668
Yorkshire and The Humber,41,24634
Yorkshire and The Humber,42,24943.774193548386
Yorkshire and The Humber,43,25253.548387096773
Yorkshire and The Humber,44,25563.322580645163
Yorkshire and The Humber,45,25873.09677419355
Yorkshire and The Humber,46,26182.870967741936
Yorkshire and The Humber,47,26492.645161290322
Yorkshire and The Humber,48,26802.41935483871
Yorkshire and The Humber,49,27112.1935483871
Yorkshire and The Humber,50,27525.225806451614
Yorkshire and The Humber,51,27835
Yorkshire and The Humber,52,28103.23076923077
Yorkshire and The Humber,53,28460.871794871797
Yorkshire and The Humber,54,28818.51282051282
Yorkshire and The Humber,55,29086.74358974359
Yorkshire and The Humber,56,29444.384615384617
Yorkshire and The Humber,57,29891.4358974359
Yorkshire and The Humber,58,30249.076923076922
Yorkshire and The Humber,59,30606.71794871795
Yorkshire and The Humber,60,30964.358974358976
Yorkshire and The Humber,61,31322
Yorkshire and The Humber,62,31675.019607843136
Yorkshire and The Humber,63,32116.29411764706
Yorkshire and The Humber,64,32469.313725490196
Yorkshire and The Humber,65,32910.58823529412
Yorkshire and The Humber,66,33351.86274509804
Yorkshire and The Humber,67,33793.13725490196
Yorkshire and The Humber,68,34322.666666666664
Yorkshire and The Humber,69,34852.19607843137
Yorkshire and The Humber,70,35293.470588235294
Yorkshire and The Humber,71,35823
Yorkshire and The Humber,72,36292.45945945946
Yorkshire and The Humber,73,36840.16216216216
Yorkshire and The Humber,74,37309.62162162162
Yorkshire and The Humber,75,37857.32432432433
Yorkshire and The Humber,76,38483.27027027027
Yorkshire and The Humber,77,39030.97297297297
Yorkshire and The Humber,78,39656.91891891892
Yorkshire and The Humber,79,40282.86486486487
Yorkshire and The Humber,80,40987.05405405405
Yorkshire and The Humber,81,41613
Yorkshire and The Humber,82,42348.44117647059
Yorkshire and The Humber,83,43083.882352941175
Yorkshire and The Humber,84,43745.779411764706
Yorkshire and The Humber,85,44334.132352941175
Yorkshire and The Humber,86,45216.66176470588
Yorkshire and The Humber,87,46172.73529411765
Yorkshire and The Humber,88,47349.44117647059
Yorkshire and The Humber,89,48673.23529411765
Yorkshire and The Humber,90,49997.029411764706
Yorkshire and The Humber,91,51615
East Midlands,11,16477
East Midlands,12,16725.454545454544
East Midlands,13,16973.909090909092
East Midlands,14,17222.363636363636
East Midlands,15,17595.045454545456
East Midlands,16,17843.5
East Midlands,17,18091.954545454544
East Midlands,18,18464.636363636364
East Midlands,19,18713.090909090908
East Midlands,20,18961.545454545456
East Midlands,21,19210
East Midlands,22,19554.08695652174
East Midlands,23,19783.478260869564
East Midlands,24,20012.869565217392
East Midlands,25,20242.260869565216
East Midlands,26,20586.347826086956
East Midlands,27,20815.739130434784
East Midlands,28,21045.130434782608
East Midlands,29,21389.217391304348
East Midlands,30,21618.608695652176
East Midlands,31,21848
East Midlands,32,22171.555555555555
East Midlands,33,22387.25925925926
East Midlands,34,22710.814814814814
East Midlands,35,22926.51851851852
East Midlands,36,23250.074074074073
East Midlands,37,23465.777777777777
East Midlands,38,23789.333333333332
East Midlands,39,24112.88888888889
East Midlands,40,24436.444444444445
East Midlands,41,24760
East Midlands,42,25073.548387096773
East Midlands,43,25387.09677419355
East Midlands,44,25700.645161290322
East Midlands,45,26014.1935483871
East Midlands,46,26327.74193548387
East Midlands,47,26641.290322580644
East Midlands,48,26954.83870967742
East Midlands,49,27268.387096774193
East Midlands,50,27686.451612903227
East Midlands,51,28000
East Midlands,52,28273.846153846152
East Midlands,53,28638.97435897436
East Midlands,54,29004.102564102563
East Midlands,55,29277.94871794872
East Midlands,56,29643.076923076922
East Midlands,57,30099.48717948718
East Midlands,58,30464.615384615383
East Midlands,59,30829.74358974359
East Midlands,60,31194.871794871797
East Midlands,61,31560
East Midlands,62,31905.254901960783
East Midlands,63,32336.823529411766
East Midlands,64,32682.07843137255
East Midlands,65,33113.64705882353
East Midlands,66,33545.21568627451
East Midlands,67,33976.78431372549
East Midlands,68,34494.666666666664
East Midlands,69,35012.549019607846
East Midlands,70,35444.117647058825
East Midlands,71,35962
East Midlands,72,36442.16216216216
East Midlands,73,37002.35135135135
East Midlands,74,37482.51351351351
East Midlands,75,38042.7027027027
East Midlands,76,38682.91891891892
East Midlands,77,39243.10810810811
East Midlands,78,39883.32432432433
East Midlands,79,40523.54054054054
East Midlands,80,41243.78378378379
East Midlands,81,41884
East Midlands,82,42665.10294117647
East Midlands,83,43446.205882352944
East Midlands,84,44149.19852941176
East Midlands,85,44774.080882352944
East Midlands,86,45711.404411764706
East Midlands,87,46726.83823529412
East Midlands,88,47976.60294117647
East Midlands,89,49382.58823529412
East Midlands,90,50788.57352941176
East Midlands,91,52507
West Midlands,11,16597
West Midlands,12,16862.454545454544
West Midlands,13,17127.909090909092
West Midlands,14,17393.363636363636
West Midlands,15,17791.545454545456
West Midlands,16,18057.0
West Midlands,17,18322.454545454544
West Midlands,18,18720.636363636364
West Midlands,19,18986.090909090908
West Midlands,20,19251.545454545456
West Midlands,21,19517
West Midlands,22,19906.478260869564
West Midlands,23,20166.130434782608
West Midlands,24,20425.782608695652
West Midlands,25,20685.434782608696
West Midlands,26,21074.91304347826
West Midlands,27,21334.565217391304
West Midlands,28,21594.217391304348
West Midlands,29,21983.695652173912
West Midlands,30,22243.347826086956
West Midlands,31,22503
West Midlands,32,22831.444444444445
West Midlands,33,23050.40740740741
West Midlands,34,23378.85185185185
West Midlands,35,23597.814814814814
West Midlands,36,23926.25925925926
West Midlands,37,24145.222222222223
West Midlands,38,24473.666666666668
West Midlands,39,24802.11111111111
West Midlands,40,25130.555555555555
West Midlands,41,25459
West Midlands,42,25756.774193548386
West Midlands,43,26054.548387096773
West Midlands,44,26352.322580645163
West Midlands,45,26650.09677419355
West Midlands,46,26947.870967741936
West Midlands,47,27245.645161290322
West Midlands,48,27543.41935483871
West Midlands,49,27841.1935483871
West Midlands,50,28238.225806451614
West Midlands,51,28536
West Midlands,52,28839.153846153848
West Midlands,53,29243.358974358973
West Midlands,54,29647.5641025641
West Midlands,55,29950.71794871795
West Midlands,56,30354.923076923078
West Midlands,57,30860.17948717949
West Midlands,58,31264.384615384617
West Midlands,59,31668.589743589742
West Midlands,60,32072.79487179487
West Midlands,61,32477
West Midlands,62,32858.80392156863
West Midlands,63,33336.05882352941
West Midlands,64,33717.86274509804
West Midlands,65,34195.117647058825
West Midlands,66,34672.37254901961
West Midlands,67,35149.62745098039
West Midlands,68,35722.333333333336
West Midlands,69,36295.03921568627
West Midlands,70,36772.294117647056
West Midlands,71,37345
West Midlands,72,37842.51351351351
West Midlands,73,38422.94594594595
West Midlands,74,38920.45945945946
West Midlands,75,39500.89189189189
West Midlands,76,40164.24324324324
West Midlands,77,40744.67567567567
West Midlands,78,41408.02702702703
West Midlands,79,42071.37837837838
West Midlands,80,42817.64864864865
West Midlands,81,43481
West Midlands,82,44279.382352941175
West Midlands,83,45077.76470588235
West Midlands,84,45796.30882352941
West Midlands,85,46435.01470588235
West Midlands,86,47393.07352941176
West Midlands,87,48430.970588235294
West Midlands,88,49708.382352941175
West Midlands,89,51145.470588235294
West Midlands,90,52582.55882352941
West Midlands,91,54339
East,11,17212
East,12,17508.636363636364
East,13,17805.272727272728
East,14,18101.909090909092
East,15,18546.863636363636
East,16,18843.5
East,17,19140.136363636364
East,18,19585.090909090908
East,19,19881.727272727272
East,20,20178.363636363636
East,21,20475
East,22,20896.304347826088
East,23,21177.17391304348
East,24,21458.043478260868
East,25,21738.91304347826
East,26,22160.217391304348
East,27,22441.08695652174
East,28,22721.956521739132
East,29,23143.260869565216
East,30,23424.130434782608
East,31,23705
East,32,24071.11111111111
East,33,24315.185185185186
East,34,24681.296296296296
East,35,24925.37037037037
East,36,25291.48148148148
East,37,25535.555555555555
East,38,25901.666666666668
East,39,26267.777777777777
East,40,26633.88888888889
East,41,27000
East,42,27323.709677419356
East,43,27647.41935483871
East,44,27971.129032258064
East,45,28294.83870967742
East,46,28618.548387096773
East,47,28942.25806451613
East,48,29265.967741935485
East,49,29589.677419354837
East,50,30021.290322580644
East,51,30345
East,52,30652.923076923078
East,53,31063.48717948718
East,54,31474.05128205128
East,55,31781.97435897436
East,56,32192.53846153846
East,57,32705.74358974359
East,58,33116.307692307695
East,59,33526.8717948718
East,60,33937.4358974359
East,61,34348
East,62,34728.39215686275
East,63,35203.882352941175
East,64,35584.27450980392
East,65,36059.76470588235
East,66,36535.25490196078
East,67,37010.74509803922
East,68,37581.333333333336
East,69,38151.921568627455
East,70,38627.41176470588
East,71,39198
East,72,39744.64864864865
East,73,40382.40540540541
East,74,40929.05405405405
East,75,41566.81081081081
East,76,42295.67567567567
East,77,42933.43243243243
East,78,43662.2972972973
East,79,44391.16216216216
East,80,45211.13513513513
East,81,45940
East,82,46968.60294117647
East,83,47997.205882352944
East,84,48922.94852941176
East,85,49745.830882352944
East,86,50980.154411764706
East,87,52317.33823529412
East,88,53963.10294117647
East,89,55814.58823529412
East,90,57666.07352941176
East,91,59929
London,11,20000
London,12,20454.545454545456
London,13,20909.090909090908
London,14,21363.636363636364
London,15,22045.454545454544
London,16,22500.0
London,17,22954.545454545456
London,18,23636.363636363636
London,19,24090.909090909092
London,20,24545.454545454544
London,21,25000
London,22,25592.695652173912
London,23,25987.82608695652
London,24,26382.956521739132
London,25,26778.08695652174
London,26,27370.782608695652
London,27,27765.91304347826
London,28,28161.043478260868
London,29,28753.739130434784
London,30,29148.869565217392
London,31,29544
London,32,30055.222222222223
London,33,30396.037037037036
London,34,30907.25925925926
London,35,31248.074074074073
London,36,31759.296296296296
London,37,32100.11111111111
London,38,32611.333333333332
London,39,33122.555555555555
London,40,33633.77777777778
London,41,34145
London,42,34614.06451612903
London,43,35083.12903225807
London,44,35552.1935483871
London,45,36021.25806451613
London,46,36490.32258064516
London,47,36959.3870967742
London,48,37428.45161290323
London,49,37897.51612903226
London,50,38522.93548387097
London,51,38992
London,52,39425.230769230766
London,53,40002.8717948718
London,54,40580.51282051282
London,55,41013.74358974359
London,56,41591.38461538462
London,57,42313.4358974359
London,58,42891.07692307692
London,59,43468.717948717946
London,60,44046.35897435898
London,61,44624
London,62,45243.76470588235
London,63,46018.470588235294
London,64,46638.23529411765
London,65,47412.94117647059
London,66,48187.64705882353
London,67,48962.35294117647
London,68,49892.0
London,69,50821.64705882353
London,70,51596.35294117647
London,71,52526
London,72,53576.16216216216
London,73,54801.35135135135
London,74,55851.51351351351
London,75,57076.70270270271
London,76,58476.91891891892
London,77,59702.10810810811
London,78,61102.32432432433
London,79,62502.54054054054
London,80,64077.78378378379
London,81,65478
London,82,67565.64705882352
London,83,69653.29411764706
London,84,71532.17647058824
London,85,73202.29411764706
London,86,75707.4705882353
London,87,78421.41176470589
London,88,81761.64705882352
London,89,85519.41176470589
London,90,89277.17647058824
London,91,93870
South East,11,17669
South East,12,17987.090909090908
South East,13,18305.18181818182
South East,14,18623.272727272728
South East,15,19100.409090909092
South East,16,19418.5
South East,17,19736.590909090908
South East,18,20213.727272727272
South East,19,20531.818181818184
South East,20,20849.909090909092
South East,21,21168
South East,22,21644.347826086956
South East,23,21961.91304347826
South East,24,22279.478260869564
South East,25,22597.043478260868
South East,26,23073.391304347824
South East,27,23390.956521739132
South East,28,23708.521739130436
South East,29,24184.869565217392
South East,30,24502.434782608696
South East,31,24820
South East,32,25197.777777777777
South East,33,25449.629629629628
South East,34,25827.40740740741
South East,35,26079.25925925926
South East,36,26457.037037037036
South East,37,26708.88888888889
South East,38,27086.666666666668
South East,39,27464.444444444445
South East,40,27842.222222222223
South East,41,28220
South East,42,28597.41935483871
South East,43,28974.83870967742
South East,44,29352.25806451613
South East,45,29729.677419354837
South East,46,30107.09677419355
South East,47,30484.516129032258
South East,48,30861.935483870966
South East,49,31239.354838709678
South East,50,31742.58064516129
South East,51,32120
South East,52,32452.153846153848
South East,53,32895.02564102564
South East,54,33337.89743589744
South East,55,33670.05128205128
South East,56,34112.92307692308
South East,57,34666.51282051282
South East,58,35109.38461538462
South East,59,35552.25641025641
South East,60,35995.1282051282
South East,61,36438
South East,62,36865.450980392154
South East,63,37399.76470588235
South East,64,37827.21568627451
South East,65,38361.529411764706
South East,66,38895.8431372549
South East,67,39430.1568627451
South East,68,40071.333333333336
South East,69,40712.509803921566
South East,70,41246.82352941176
South East,71,41888
South East,72,42503.32432432433
South East,73,43221.2027027027
South East,74,43836.52702702703
South East,75,44554.40540540541
South East,76,45374.83783783784
South East,77,46092.71621621621
South East,78,46913.14864864865
South East,79,47733.58108108108
South East,80,48656.56756756757
South East,81,49477
South East,82,50582.73529411765
South East,83,51688.470588235294
South East,84,52683.632352941175
South East,85,53568.220588235294
South East,86,54895.10294117647
South East,87,56332.55882352941
South East,88,58101.73529411765
South East,89,60092.05882352941
South East,90,62082.382352941175
South East,91,64515
South West,11,16869
South West,12,17134.636363636364
South West,13,17400.272727272728
South West,14,17665.909090909092
South West,15,18064.363636363636
South West,16,18330.0
South West,17,18595.636363636364
South West,18,18994.090909090908
South West,19,19259.727272727272
South West,20,19525.363636363636
South West,21,19791
South West,22,20146.043478260868
South West,23,20382.739130434784
South West,24,20619.434782608696
South West,25,20856.130434782608
South West,26,21211.17391304348
South West,27,21447.869565217392
South West,28,21684.565217391304
South West,29,22039.608695652176
South West,30,22276.304347826088
South West,31,22513
South West,32,22837.777777777777
South West,33,23054.296296296296
South West,34,23379.074074074073
South West,35,23595.59259259259
South West,36,23920.37037037037
South West,37,24136.88888888889
South West,38,24461.666666666668
South West,39,24786.444444444445
South West,40,25111.222222222223
South West,41,25436
South West,42,25747.41935483871
South West,43,26058.83870967742
South West,44,26370.25806451613
South West,45,26681.677419354837
South West,46,26993.09677419355
South West,47,27304.516129032258
South West,48,27615.93548387097
South West,49,27927.354838709678
South West,50,28342.58064516129
South West,51,28654
South West,52,28922.76923076923
South West,53,29281.128205128203
South West,54,29639.48717948718
South West,55,29908.25641025641
South West,56,30266.615384615383
South West,57,30714.5641025641
South West,58,31072.923076923078
South West,59,31431.28205128205
South West,60,31789.641025641027
South West,61,32148
South West,62,32492.470588235294
South West,63,32923.05882352941
South West,64,33267.529411764706
South West,65,33698.117647058825
South West,66,34128.705882352944
South West,67,34559.294117647056
South West,68,35076.0
South West,69,35592.705882352944
South West,70,36023.294117647056
South West,71,36540
South West,72,37019.27027027027
South West,73,37578.41891891892
South West,74,38057.68918918919
South West,75,38616.83783783784
South West,76,39255.86486486487
South West,77,39815.01351351351
South West,78,40454.04054054054
South West,79,41093.06756756757
South West,80,41811.97297297297
South West,81,42451
South West,82,43275.117647058825
South West,83,44099.23529411765
South West,84,44840.94117647059
South West,85,45500.23529411765
South West,86,46489.17647058824
South West,87,47560.529411764706
South West,88,48879.117647058825
South West,89,50362.529411764706
South West,90,51845.94117647059
South West,91,53659
Wales,11,16638
Wales,12,16871.363636363636
Wales,13,17104.727272727272
Wales,14,17338.090909090908
Wales,15,17688.136363636364
Wales,16,17921.5
Wales,17,18154.863636363636
Wales,18,18504.909090909092
Wales,19,18738.272727272728
Wales,20,18971.636363636364
Wales,21,19205
Wales,22,19538.521739130436
Wales,23,19760.869565217392
Wales,24,19983.217391304348
Wales,25,20205.565217391304
Wales,26,20539.08695652174
Wales,27,20761.434782608696
Wales,28,20983.782608695652
Wales,29,21317.304347826088
Wales,30,21539.652173913044
Wales,31,21762
Wales,32,22049.88888888889
Wales,33,22241.814814814814
Wales,34,22529.703703703704
Wales,35,22721.629629629628
Wales,36,23009.51851851852
Wales,37,23201.444444444445
Wales,38,23489.333333333332
Wales,39,23777.222222222223
Wales,40,24065.11111111111
Wales,41,24353
Wales,42,24657.548387096773
Wales,43,24962.09677419355
Wales,44,25266.645161290322
Wales,45,25571.1935483871
Wales,46,25875.74193548387
Wales,47,26180.290322580644
Wales,48,26484.83870967742
Wales,49,26789.387096774193
Wales,50,27195.451612903227
Wales,51,27500
Wales,52,27801.384615384617
Wales,53,28203.23076923077
Wales,54,28605.076923076922
Wales,55,28906.46153846154
Wales,56,29308.30769230769
Wales,57,29810.615384615383
Wales,58,30212.46153846154
Wales,59,30614.30769230769
Wales,60,31016.153846153848
Wales,61,31418
Wales,62,31767.254901960783
Wales,63,32203.823529411766
Wales,64,32553.07843137255
Wales,65,32989.64705882353
Wales,66,33426.21568627451
Wales,67,33862.78431372549
Wales,68,34386.666666666664
Wales,69,34910.549019607846
Wales,70,35347.117647058825
Wales,71,35871
Wales,72,36239.10810810811
Wales,73,36668.56756756757
Wales,74,37036.67567567567
Wales,75,37466.13513513513
Wales,76,37956.94594594595
Wales,77,38386.40540540541
Wales,78,38877.21621621621
Wales,79,39368.02702702703
Wales,80,39920.18918918919
Wales,81,40411
Wales,82,41000.33823529412
Wales,83,41589.67647058824
Wales,84,42120.080882352944
Wales,85,42591.55147058824
Wales,86,43298.757352941175
Wales,87,44064.89705882353
Wales,88,45007.83823529412
Wales,89,46068.64705882353
Wales,90,47129.455882352944
Wales,91,48426
Scotland,11,17374
Scotland,12,17651.909090909092
Scotland,13,17929.81818181818
Scotland,14,18207.727272727272
Scotland,15,18624.590909090908
Scotland,16,18902.5
Scotland,17,19180.409090909092
Scotland,18,19597.272727272728
Scotland,19,19875.18181818182
Scotland,20,20153.090909090908
Scotland,21,20431
Scotland,22,20803.91304347826
Scotland,23,21052.521739130436
Scotland,24,21301.130434782608
Scotland,25,21549.739130434784
Scotland,26,21922.652173913044
Scotland,27,22171.260869565216
Scotland,28,22419.869565217392
Scotland,29,22792.782608695652
Scotland,30,23041.391304347824
Scotland,31,23290
Scotland,32,23644.333333333332
Scotland,33,23880.555555555555
Scotland,34,24234.88888888889
Scotland,35,24471.11111111111
Scotland,36,24825.444444444445
Scotland,37,25061.666666666668
Scotland,38,25416.0
Scotland,39,25770.333333333332
Scotland,40,26124.666666666668
Scotland,41,26479
Scotland,42,26819.74193548387
Scotland,43,27160.483870967742
Scotland,44,27501.225806451614
Scotland,45,27841.967741935485
Scotland,46,28182.709677419356
Scotland,47,28523.451612903227
Scotland,48,28864.1935483871
Scotland,49,29204.93548387097
Scotland,50,29659.25806451613
Scotland,51,30000
Scotland,52,30286.615384615383
Scotland,53,30668.76923076923
Scotland,54,31050.923076923078
Scotland,55,31337.53846153846
Scotland,56,31719.69230769231
Scotland,57,32197.384615384617
Scotland,58,32579.53846153846
Scotland,59,32961.692307692305
Scotland,60,33343.846153846156
Scotland,61,33726
Scotland,62,34058.39215686275
Scotland,63,34473.882352941175
Scotland,64,34806.27450980392
Scotland,65,35221.76470588235
Scotland,66,35637.25490196078
Scotland,67,36052.74509803922
Scotland,68,36551.333333333336
Scotland,69,37049.921568627455
Scotland,70,37465.41176470588
Scotland,71,37964
Scotland,72,38420.24324324324
Scotland,73,38952.52702702703
Scotland,74,39408.77027027027
Scotland,75,39941.05405405405
Scotland,76,40549.37837837838
Scotland,77,41081.66216216216
Scotland,78,41689.98648648649
Scotland,79,42298.31081081081
Scotland,80,42982.67567567567
Scotland,81,43591
Scotland,82,44421.51470588235
Scotland,83,45252.029411764706
Scotland,84,45999.492647058825
Scotland,85,46663.904411764706
Scotland,86,47660.52205882353
Scotland,87,48740.19117647059
Scotland,88,50069.01470588235
Scotland,89,51563.94117647059
Scotland,90,53058.867647058825
Scotland,91,54886
Northern Ireland,11,16600
Northern Ireland,12,16837.090909090908
Northern Ireland,13,17074.18181818182
Northern Ireland,14,17311.272727272728
Northern Ireland,15,17666.909090909092
Northern Ireland,16,17904.0
Northern Ireland,17,18141.090909090908
Northern Ireland,18,18496.727272727272
Northern Ireland,19,18733.818181818184
Northern Ireland,20,18970.909090909092
Northern Ireland,21,19208
Northern Ireland,22,19544.521739130436
Northern Ireland,23,19768.869565217392
Northern Ireland,24,19993.217391304348
Northern Ireland,25,20217.565217391304
Northern Ireland,26,20554.08695652174
Northern Ireland,27,20778.434782608696
Northern Ireland,28,21002.782608695652
Northern Ireland,29,21339.304347826088
Northern Ireland,30,21563.652173913044
Northern Ireland,31,21788
Northern Ireland,32,22109.0
Northern Ireland,33,22323.0
Northern Ireland,34,22644.0
Northern Ireland,35,22858.0
Northern Ireland,36,23179.0
Northern Ireland,37,23393.0
Northern Ireland,38,23714.0
Northern Ireland,39,24035.0
Northern Ireland,40,24356.0
Northern Ireland,41,24677
Northern Ireland,42,24943.8064516129
Northern Ireland,43,25210.612903225807
Northern Ireland,44,25477.41935483871
Northern Ireland,45,25744.225806451614
Northern Ireland,46,26011.032258064515
Northern Ireland,47,26277.83870967742
Northern Ireland,48,26544.645161290322
Northern Ireland,49,26811.451612903227
Northern Ireland,50,27167.1935483871
Northern Ireland,51,27434
Northern Ireland,52,27725.30769230769
Northern Ireland,53,28113.71794871795
Northern Ireland,54,28502.128205128203
Northern Ireland,55,28793.4358974359
Northern Ireland,56,29181.846153846152
Northern Ireland,57,29667.358974358976
Northern Ireland,58,30055.76923076923
Northern Ireland,59,30444.17948717949
Northern Ireland,60,30832.589743589742
Northern Ireland,61,31221
Northern Ireland,62,31586.882352941175
Northern Ireland,63,32044.235294117647
Northern Ireland,64,32410.117647058825
Northern Ireland,65,32867.470588235294
Northern Ireland,66,33324.82352941176
Northern Ireland,67,33782.17647058824
Northern Ireland,68,34331.0
Northern Ireland,69,34879.82352941176
Northern Ireland,70,35337.17647058824
Northern Ireland,71,35886
Northern Ireland,72,36279.56756756757
Northern Ireland,73,36738.72972972973
Northern Ireland,74,37132.2972972973
Northern Ireland,75,37591.45945945946
Northern Ireland,76,38116.21621621621
Northern Ireland,77,38575.37837837838
Northern Ireland,78,39100.13513513513
Northern Ireland,79,39624.89189189189
Northern Ireland,80,40215.24324324324
Northern Ireland,81,40740
Northern Ireland,82,41420.294117647056
Northern Ireland,83,42100.58823529412
Northern Ireland,84,42712.85294117647
Northern Ireland,85,43257.08823529412
Northern Ireland,86,44073.44117647059
Northern Ireland,87,44957.82352941176
Northern Ireland,88,46046.294117647056
Northern Ireland,89,47270.82352941176
Northern Ireland,90,48495.35294117647
Northern Ireland,91,49992
